Id,ListImpressions,DetailsViews,Conversions,ClickRate7Days,ConversionRate7Days,ConversionRate14Days
212,63,63,71,100,100,100
213,72,64,77,88.89,100,100
214,45,63,58,100,92.06,92.06
215,75,67,78,89.33,100,100
216,64,85,75,100,88.24,88.24
217,71,71,84,100,100,100
218,69,74,74,100,100,100
219,75,86,57,100,66.28,66.28
220,61,76,67,100,88.16,88.16
221,63,71,72,100,100,100
222,59,53,77,89.83,100,100
223,80,74,74,92.5,100,100
224,77,86,70,100,81.4,81.4
225,76,81,69,100,85.19,85.19
226,77,75,67,97.4,89.33,89.33
227,68,56,65,82.35,100,100
228,73,75,82,100,100,100
229,84,69,82,82.14,100,100
230,66,53,68,80.3,100,100
231,59,68,89,100,100,100
232,88,60,67,68.18,100,100
233,73,80,68,100,85,85
234,60,73,75,100,100,100
235,69,71,73,100,100,100
236,79,67,75,84.81,100,100
237,74,66,76,89.19,100,100
238,74,70,68,94.59,97.14,97.14
239,71,75,70,100,93.33,93.33
240,60,61,68,100,100,100
241,68,82,86,100,100,100
242,63,71,67,100,94.37,94.37
243,75,71,70,94.67,98.59,98.59
244,59,68,70,100,100,100
245,73,59,80,80.82,100,100
246,72,77,63,100,81.82,81.82
247,61,72,76,100,100,100
248,73,80,70,100,87.5,87.5
249,67,81,58,100,71.6,71.6
250,76,67,54,88.16,80.6,80.6
251,68,82,65,100,79.27,79.27
252,61,69,63,100,91.3,91.3
253,80,67,78,83.75,100,100
254,79,63,62,79.75,98.41,98.41
255,65,84,63,100,75,75
256,58,78,70,100,89.74,89.74
257,83,59,55,71.08,93.22,93.22
258,82,71,82,86.59,100,100
259,74,63,75,85.14,100,100
260,79,75,70,94.94,93.33,93.33
261,72,60,64,83.33,100,100
262,67,73,78,100,100,100
263,74,66,88,89.19,100,100
264,64,77,65,100,84.42,84.42
265,85,75,73,88.24,97.33,97.33
266,74,63,61,85.14,96.83,96.83
267,81,75,79,92.59,100,100
268,65,69,83,100,100,100
269,77,80,63,100,78.75,78.75
270,52,67,61,100,91.04,91.04
271,85,83,68,97.65,81.93,81.93
272,66,66,55,100,83.33,83.33
273,71,65,69,91.55,100,100
274,68,84,68,100,80.95,80.95
275,66,70,75,100,100,100
276,60,67,74,100,100,100
277,69,77,71,100,92.21,92.21
278,56,64,66,100,100,100
279,67,72,89,100,100,100
280,67,93,64,100,68.82,68.82
281,72,61,81,84.72,100,100
282,73,51,66,69.86,100,100
283,70,70,81,100,100,100
284,76,78,71,100,91.03,91.03
285,64,64,73,100,100,100
286,72,62,62,86.11,100,100
287,59,93,71,100,76.34,76.34
288,73,90,61,100,67.78,67.78
289,73,75,61,100,81.33,81.33
290,64,71,72,100,100,100
291,78,48,60,61.54,100,100
292,74,73,69,98.65,94.52,94.52
293,77,63,74,81.82,100,100
294,64,75,58,100,77.33,77.33
295,76,61,83,80.26,100,100
296,72,78,64,100,82.05,82.05
297,69,61,76,88.41,100,100
298,58,68,75,100,100,100
299,62,68,73,100,100,100
300,73,76,74,100,97.37,97.37
301,74,88,83,100,94.32,94.32
302,71,64,75,90.14,100,100
303,71,71,68,100,95.77,95.77
304,73,70,77,95.89,100,100
305,70,69,73,98.57,100,100
306,93,72,55,77.42,76.39,76.39
307,73,89,68,100,76.4,76.4
308,62,71,76,100,100,100
309,76,77,75,100,97.4,97.4
310,71,73,93,100,100,100
311,70,60,72,85.71,100,100
312,55,84,66,100,78.57,78.57
313,64,72,88,100,100,100
314,97,72,78,74.23,100,100
315,66,65,73,98.48,100,100
316,77,70,76,90.91,100,100
317,71,70,70,98.59,100,100
318,69,60,64,86.96,100,100
319,80,69,70,86.25,100,100
320,67,58,69,86.57,100,100
321,73,52,61,71.23,100,100
322,73,76,66,100,86.84,86.84
323,81,90,79,100,87.78,87.78
324,66,70,80,100,100,100
325,66,73,69,100,94.52,94.52
326,85,77,74,90.59,96.1,96.1
327,63,76,63,100,82.89,82.89
328,77,82,76,100,92.68,92.68
329,68,63,49,92.65,77.78,77.78
330,77,59,86,76.62,100,100
331,81,81,78,100,96.3,96.3
332,70,62,75,88.57,100,100
333,78,65,90,83.33,100,100
334,64,73,72,100,98.63,98.63
335,61,62,74,100,100,100
336,64,70,72,100,100,100
337,65,68,75,100,100,100
338,67,77,76,100,98.7,98.7
339,66,64,70,96.97,100,100
340,55,71,85,100,100,100
341,80,61,73,76.25,100,100
342,75,64,74,85.33,100,100
343,63,74,73,100,98.65,98.65
344,83,85,64,100,75.29,75.29
345,67,72,62,100,86.11,86.11
346,71,58,68,81.69,100,100
347,69,58,71,84.06,100,100
348,83,74,75,89.16,100,100
349,67,63,69,94.03,100,100
350,84,83,75,98.81,90.36,90.36
351,63,68,66,100,97.06,97.06
352,66,70,67,100,95.71,95.71
353,77,70,65,90.91,92.86,92.86
354,81,83,83,100,100,100
355,77,68,64,88.31,94.12,94.12
356,64,86,86,100,100,100
357,84,70,72,83.33,100,100
358,86,79,80,91.86,100,100
359,80,68,69,85,100,100
360,80,74,80,92.5,100,100
361,77,81,72,100,88.89,88.89
362,67,75,68,100,90.67,90.67
363,85,69,70,81.18,100,100
364,67,68,62,100,91.18,91.18
365,76,86,80,100,93.02,93.02
366,77,69,80,89.61,100,100
367,54,64,71,100,100,100
368,66,71,65,100,91.55,91.55
369,72,63,75,87.5,100,100
370,74,73,57,98.65,78.08,78.08
371,76,89,74,100,83.15,83.15
372,90,66,69,73.33,100,100
373,83,77,64,92.77,83.12,83.12
374,86,75,71,87.21,94.67,94.67
375,68,78,68,100,87.18,87.18
376,75,61,65,81.33,100,100
377,74,78,88,100,100,100
378,75,67,88,89.33,100,100
379,67,62,67,92.54,100,100
380,74,80,65,100,81.25,81.25
381,71,79,85,100,100,100
382,68,80,77,100,96.25,96.25
383,83,64,74,77.11,100,100
384,59,65,64,100,98.46,98.46
385,55,54,90,98.18,100,100
386,72,53,80,73.61,100,100
387,75,60,90,80,100,100
388,68,75,71,100,94.67,94.67
389,81,76,60,93.83,78.95,78.95
390,71,62,63,87.32,100,100
391,71,62,67,87.32,100,100
392,63,67,73,100,100,100
393,66,86,62,100,72.09,72.09
394,93,61,64,65.59,100,100
395,74,88,108,100,100,100
396,71,62,75,87.32,100,100
397,76,67,63,88.16,94.03,94.03
398,83,84,65,100,77.38,77.38
399,68,76,73,100,96.05,96.05
400,80,62,62,77.5,100,100
401,81,80,72,98.77,90,90
402,60,76,63,100,82.89,82.89
403,73,79,55,100,69.62,69.62
404,82,60,78,73.17,100,100
405,75,79,58,100,73.42,73.42
406,61,87,72,100,82.76,82.76
407,89,74,62,83.15,83.78,83.78
408,78,82,76,100,92.68,92.68
409,75,74,66,98.67,89.19,89.19
410,64,66,64,100,96.97,96.97
411,79,81,71,100,87.65,87.65
412,70,73,84,100,100,100
413,81,71,75,87.65,100,100
414,70,92,71,100,77.17,77.17
415,59,65,67,100,100,100
416,95,68,63,71.58,92.65,92.65
417,64,73,82,100,100,100
418,63,72,71,100,98.61,98.61
419,57,68,59,100,86.76,86.76
420,50,67,66,100,98.51,98.51
421,69,66,70,95.65,100,100
422,77,57,64,74.03,100,100
423,79,80,66,100,82.5,82.5
424,75,79,60,100,75.95,75.95
425,81,65,63,80.25,96.92,96.92
426,67,87,57,100,65.52,65.52
427,66,69,72,100,100,100
428,77,69,62,89.61,89.86,89.86
429,66,83,57,100,68.67,68.67
430,58,72,71,100,98.61,98.61
431,60,81,66,100,81.48,81.48
432,71,61,82,85.92,100,100
433,54,83,77,100,92.77,92.77
434,73,62,73,84.93,100,100
435,72,72,63,100,87.5,87.5
436,72,59,74,81.94,100,100
437,63,74,74,100,100,100
438,66,80,83,100,100,100
439,68,68,62,100,91.18,91.18
440,80,74,87,92.5,100,100
441,69,81,78,100,96.3,96.3
442,69,66,66,95.65,100,100
443,84,67,66,79.76,98.51,98.51
444,70,77,62,100,80.52,80.52
445,72,67,73,93.06,100,100
446,77,85,67,100,78.82,78.82
447,72,90,58,100,64.44,64.44
448,68,79,77,100,97.47,97.47
449,81,82,65,100,79.27,79.27
450,79,69,70,87.34,100,100
451,71,77,64,100,83.12,83.12
452,72,54,64,75,100,100
453,68,74,70,100,94.59,94.59
454,84,73,69,86.9,94.52,94.52
455,76,69,68,90.79,98.55,98.55
456,77,72,66,93.51,91.67,91.67
457,85,81,61,95.29,75.31,75.31
458,71,66,68,92.96,100,100
459,76,70,73,92.11,100,100
460,65,65,84,100,100,100
461,83,58,70,69.88,100,100
462,55,61,67,100,100,100
463,59,62,65,100,100,100
464,65,62,87,95.38,100,100
465,66,74,68,100,91.89,91.89
466,86,61,65,70.93,100,100
467,81,79,75,97.53,94.94,94.94
468,81,70,72,86.42,100,100
469,74,69,72,93.24,100,100
470,74,82,72,100,87.8,87.8
471,60,65,70,100,100,100
472,81,51,80,62.96,100,100
473,60,74,79,100,100,100
474,67,76,71,100,93.42,93.42
475,78,86,60,100,69.77,69.77
476,71,65,71,91.55,100,100
477,74,75,83,100,100,100
478,64,86,78,100,90.7,90.7
479,76,54,79,71.05,100,100
480,66,64,67,96.97,100,100
481,77,68,85,88.31,100,100
482,82,66,60,80.49,90.91,90.91
483,78,80,63,100,78.75,78.75
484,70,64,64,91.43,100,100
485,78,62,89,79.49,100,100
486,81,75,85,92.59,100,100
487,61,80,61,100,76.25,76.25
488,74,63,90,85.14,100,100
489,57,70,63,100,90,90
490,59,77,68,100,88.31,88.31
491,71,72,74,100,100,100
492,74,82,58,100,70.73,70.73
493,66,79,68,100,86.08,86.08
494,73,90,80,100,88.89,88.89
495,67,75,82,100,100,100
496,70,73,65,100,89.04,89.04
497,60,79,61,100,77.22,77.22
498,66,78,79,100,100,100
499,67,83,71,100,85.54,85.54
500,87,82,70,94.25,85.37,85.37
501,75,59,76,78.67,100,100
502,60,67,68,100,100,100
503,75,70,59,93.33,84.29,84.29
504,78,61,70,78.21,100,100
505,66,55,77,83.33,100,100
506,75,65,89,86.67,100,100
507,62,70,78,100,100,100
508,78,55,65,70.51,100,100
509,72,71,73,98.61,100,100
510,71,82,70,100,85.37,85.37
511,61,76,81,100,100,100
512,70,81,77,100,95.06,95.06
513,74,69,76,93.24,100,100
514,69,61,70,88.41,100,100
515,81,68,70,83.95,100,100
516,65,57,70,87.69,100,100
517,78,73,71,93.59,97.26,97.26
518,61,68,76,100,100,100
519,53,64,70,100,100,100
520,63,63,64,100,100,100
521,66,69,88,100,100,100
522,82,62,66,75.61,100,100
523,79,68,68,86.08,100,100
524,90,73,84,81.11,100,100
525,69,59,79,85.51,100,100
526,64,70,79,100,100,100
527,84,57,81,67.86,100,100
528,60,67,76,100,100,100
529,71,68,63,95.77,92.65,92.65
530,84,72,71,85.71,98.61,98.61
531,57,71,72,100,100,100
532,69,81,78,100,96.3,96.3
533,67,57,76,85.07,100,100
534,74,62,72,83.78,100,100
535,60,71,73,100,100,100
536,69,72,83,100,100,100
537,73,77,74,100,96.1,96.1
538,61,81,90,100,100,100
539,69,58,71,84.06,100,100
540,68,71,68,100,95.77,95.77
541,74,64,71,86.49,100,100
542,84,78,72,92.86,92.31,92.31
543,66,77,67,100,87.01,87.01
544,64,71,57,100,80.28,80.28
545,77,57,64,74.03,100,100
546,72,74,65,100,87.84,87.84
547,63,81,86,100,100,100
548,70,75,57,100,76,76
549,60,68,66,100,97.06,97.06
550,69,62,68,89.86,100,100
551,95,73,65,76.84,89.04,89.04
552,87,73,82,83.91,100,100
553,82,82,66,100,80.49,80.49
554,65,80,76,100,95,95
555,97,79,73,81.44,92.41,92.41
556,65,66,82,100,100,100
557,57,68,66,100,97.06,97.06
558,71,77,66,100,85.71,85.71
559,51,81,67,100,82.72,82.72
560,76,79,65,100,82.28,82.28
561,71,71,74,100,100,100
562,70,80,91,100,100,100
563,68,73,64,100,87.67,87.67
564,70,89,83,100,93.26,93.26
565,58,71,70,100,98.59,98.59
566,67,66,63,98.51,95.45,95.45
567,62,80,74,100,92.5,92.5
568,77,71,83,92.21,100,100
569,86,70,64,81.4,91.43,91.43
570,75,69,75,92,100,100
571,56,83,78,100,93.98,93.98
572,78,62,71,79.49,100,100
573,71,70,79,98.59,100,100
574,73,74,82,100,100,100
575,75,82,69,100,84.15,84.15
576,64,81,78,100,96.3,96.3
577,58,66,68,100,100,100
578,67,64,59,95.52,92.19,92.19
579,87,58,71,66.67,100,100
580,83,63,68,75.9,100,100
581,63,70,73,100,100,100
582,73,64,77,87.67,100,100
583,87,73,82,83.91,100,100
584,71,69,95,97.18,100,100
585,68,71,74,100,100,100
586,58,83,77,100,92.77,92.77
587,67,62,65,92.54,100,100
588,58,65,73,100,100,100
589,72,60,77,83.33,100,100
590,71,74,73,100,98.65,98.65
591,72,64,76,88.89,100,100
592,80,63,78,78.75,100,100
593,88,69,73,78.41,100,100
594,69,69,71,100,100,100
595,63,75,65,100,86.67,86.67
596,56,71,68,100,95.77,95.77
597,87,62,71,71.26,100,100
598,94,61,84,64.89,100,100
599,78,68,68,87.18,100,100
600,68,80,67,100,83.75,83.75
601,69,63,67,91.3,100,100
602,78,80,62,100,77.5,77.5
603,66,67,76,100,100,100
604,71,70,71,98.59,100,100
605,67,65,65,97.01,100,100
606,63,67,75,100,100,100
607,76,80,68,100,85,85
608,63,78,76,100,97.44,97.44
609,73,64,71,87.67,100,100
610,70,79,69,100,87.34,87.34
611,60,72,76,100,100,100
612,64,72,72,100,100,100
613,80,64,62,80,96.88,96.88
614,79,85,78,100,91.76,91.76
615,73,81,65,100,80.25,80.25
616,76,76,72,100,94.74,94.74
617,63,63,62,100,98.41,98.41
618,74,52,66,70.27,100,100
619,71,75,66,100,88,88
620,78,77,69,98.72,89.61,89.61
621,75,67,72,89.33,100,100
622,80,77,77,96.25,100,100
623,57,66,64,100,96.97,96.97
624,75,66,71,88,100,100
625,71,79,58,100,73.42,73.42
626,74,69,73,93.24,100,100
627,68,70,60,100,85.71,85.71
628,81,66,67,81.48,100,100
629,62,83,71,100,85.54,85.54
630,83,76,83,91.57,100,100
631,74,71,67,95.95,94.37,94.37
632,83,57,70,68.67,100,100
633,60,87,77,100,88.51,88.51
634,77,62,64,80.52,100,100
635,58,71,73,100,100,100
636,67,70,72,100,100,100
637,88,85,73,96.59,85.88,85.88
638,56,72,73,100,100,100
639,80,72,77,90,100,100
640,80,71,81,88.75,100,100
641,80,69,78,86.25,100,100
642,63,68,72,100,100,100
643,67,67,71,100,100,100
644,75,77,58,100,75.32,75.32
645,70,76,79,100,100,100
646,80,66,66,82.5,100,100
647,68,58,67,85.29,100,100
648,83,77,64,92.77,83.12,83.12
649,63,61,70,96.83,100,100
650,73,66,86,90.41,100,100
651,75,62,73,82.67,100,100
652,56,75,64,100,85.33,85.33
653,62,78,72,100,92.31,92.31
654,74,74,77,100,100,100
655,69,51,49,73.91,96.08,96.08
656,82,51,56,62.2,100,100
657,64,72,82,100,100,100
658,68,73,83,100,100,100
659,65,68,74,100,100,100
660,52,67,73,100,100,100
661,86,72,68,83.72,94.44,94.44
662,78,55,67,70.51,100,100
663,71,76,60,100,78.95,78.95
664,86,75,84,87.21,100,100
665,67,67,68,100,100,100
666,54,76,62,100,81.58,81.58
667,78,61,81,78.21,100,100
668,69,65,75,94.2,100,100
669,63,68,64,100,94.12,94.12
670,60,84,81,100,96.43,96.43
671,53,88,85,100,96.59,96.59
672,73,69,82,94.52,100,100
673,65,73,79,100,100,100
674,65,77,87,100,100,100
675,84,67,70,79.76,100,100
676,58,79,68,100,86.08,86.08
677,74,87,78,100,89.66,89.66
678,71,74,54,100,72.97,72.97
679,78,60,72,76.92,100,100
680,66,64,66,96.97,100,100
681,78,83,72,100,86.75,86.75
682,70,79,72,100,91.14,91.14
683,64,61,61,95.31,100,100
684,70,79,71,100,89.87,89.87
685,76,76,60,100,78.95,78.95
686,73,74,53,100,71.62,71.62
687,75,84,57,100,67.86,67.86
688,65,65,68,100,100,100
689,76,67,62,88.16,92.54,92.54
690,78,62,83,79.49,100,100
691,71,72,84,100,100,100
692,72,97,60,100,61.86,61.86
693,76,76,70,100,92.11,92.11
694,66,69,71,100,100,100
695,58,68,59,100,86.76,86.76
696,55,77,45,100,58.44,58.44
697,85,64,72,75.29,100,100
698,73,86,75,100,87.21,87.21
699,70,61,60,87.14,98.36,98.36
700,71,81,56,100,69.14,69.14
701,71,70,81,98.59,100,100
702,76,70,65,92.11,92.86,92.86
703,75,69,83,92,100,100
704,76,73,73,96.05,100,100
705,55,66,82,100,100,100
706,67,69,72,100,100,100
707,61,86,74,100,86.05,86.05
708,77,90,74,100,82.22,82.22
709,82,78,71,95.12,91.03,91.03
710,64,74,84,100,100,100
711,73,63,70,86.3,100,100
712,63,58,69,92.06,100,100
713,82,67,77,81.71,100,100
714,71,74,67,100,90.54,90.54
715,73,71,57,97.26,80.28,80.28
716,61,64,66,100,100,100
717,69,61,78,88.41,100,100
718,64,78,76,100,97.44,97.44
719,76,76,81,100,100,100
720,74,59,67,79.73,100,100
721,69,78,80,100,100,100
722,74,82,78,100,95.12,95.12
723,94,78,73,82.98,93.59,93.59
724,73,83,79,100,95.18,95.18
725,72,85,62,100,72.94,72.94
726,78,56,60,71.79,100,100
727,61,71,72,100,100,100
728,66,77,70,100,90.91,90.91
729,58,66,66,100,100,100
730,60,90,60,100,66.67,66.67
731,75,74,52,98.67,70.27,70.27
732,56,80,52,100,65,65
733,74,75,62,100,82.67,82.67
734,68,71,61,100,85.92,85.92
735,75,77,65,100,84.42,84.42
736,74,72,73,97.3,100,100
737,68,72,69,100,95.83,95.83
738,78,79,80,100,100,100
739,73,73,71,100,97.26,97.26
740,82,74,73,90.24,98.65,98.65
741,65,66,76,100,100,100
742,63,66,76,100,100,100
743,71,67,67,94.37,100,100
744,79,62,59,78.48,95.16,95.16
745,82,72,87,87.8,100,100
746,76,78,84,100,100,100
747,75,61,73,81.33,100,100
748,79,68,90,86.08,100,100
749,64,77,64,100,83.12,83.12
750,75,79,63,100,79.75,79.75
751,79,78,69,98.73,88.46,88.46
752,76,77,63,100,81.82,81.82
753,69,80,72,100,90,90
754,66,82,70,100,85.37,85.37
755,74,59,67,79.73,100,100
756,57,73,67,100,91.78,91.78
757,52,67,68,100,100,100
758,74,67,79,90.54,100,100
759,80,64,51,80,79.69,79.69
760,65,72,75,100,100,100
761,80,72,75,90,100,100
762,76,87,65,100,74.71,74.71
763,66,60,61,90.91,100,100
764,86,60,55,69.77,91.67,91.67
765,68,68,66,100,97.06,97.06
766,79,77,63,97.47,81.82,81.82
767,55,89,79,100,88.76,88.76
768,75,64,59,85.33,92.19,92.19
769,68,72,64,100,88.89,88.89
770,58,74,65,100,87.84,87.84
771,70,64,86,91.43,100,100
772,76,71,76,93.42,100,100
773,71,63,67,88.73,100,100
774,68,93,74,100,79.57,79.57
775,73,64,57,87.67,89.06,89.06
776,80,67,78,83.75,100,100
777,66,75,69,100,92,92
778,81,72,72,88.89,100,100
779,73,63,74,86.3,100,100
780,77,101,75,100,74.26,74.26
781,71,76,65,100,85.53,85.53
782,67,95,59,100,62.11,62.11
783,70,74,55,100,74.32,74.32
784,68,63,65,92.65,100,100
785,77,63,71,81.82,100,100
786,57,73,92,100,100,100
787,78,57,63,73.08,100,100
788,75,90,81,100,90,90
789,59,74,61,100,82.43,82.43
790,64,69,71,100,100,100
791,75,79,66,100,83.54,83.54
792,61,60,85,98.36,100,100
793,61,76,58,100,76.32,76.32
794,79,66,80,83.54,100,100
795,77,72,71,93.51,98.61,98.61
796,59,63,86,100,100,100
797,71,72,86,100,100,100
798,79,80,82,100,100,100
799,78,69,76,88.46,100,100
800,77,82,84,100,100,100
801,74,72,76,97.3,100,100
802,71,62,72,87.32,100,100
803,63,71,81,100,100,100
804,90,78,70,86.67,89.74,89.74
805,70,68,86,97.14,100,100
806,64,70,70,100,100,100
807,64,72,85,100,100,100
808,75,81,84,100,100,100
809,83,69,78,83.13,100,100
810,73,53,72,72.6,100,100
811,73,80,75,100,93.75,93.75
812,73,78,96,100,100,100
813,72,81,66,100,81.48,81.48
814,76,93,82,100,88.17,88.17
815,69,68,65,98.55,95.59,95.59
816,63,80,59,100,73.75,73.75
817,71,75,94,100,100,100
818,67,57,71,85.07,100,100
819,71,90,62,100,68.89,68.89
820,61,89,49,100,55.06,55.06
821,73,83,71,100,85.54,85.54
822,69,65,73,94.2,100,100
823,61,86,59,100,68.6,68.6
824,84,70,77,83.33,100,100
825,87,79,72,90.8,91.14,91.14
826,67,72,71,100,98.61,98.61
827,79,66,70,83.54,100,100
828,76,78,69,100,88.46,88.46
829,72,80,68,100,85,85
830,69,63,66,91.3,100,100
831,60,63,70,100,100,100
832,74,60,78,81.08,100,100
833,85,71,71,83.53,100,100
